,created_at,text,user_id
69,Sat Mar 14 04:43:21 +0000 2020,RT @kiaudn: the adhaan today in Kuwait was changed due to the coronavirus.\n \ninstead of \u201chayya alas-salah\u201d (come to prayer),915624401462222848
70,Sat Mar 14 04:43:21 +0000 2020,"RT @thebradfordfile: Remember immediately after 9-11 when the entire nation rallied? That sentiment was present even in the media. Those da\u2026""",789646861741199360
71,Sat Mar 14 04:43:21 +0000 2020,RT @theAleppoCatman: when we lose a cat we try to honor its memory by saving other cats\nso also today we welcomed 40 cats from the street,3160077860
72,Sat Mar 14 04:43:21 +0000 2020,"RT @Forbes: South Korea reported more recoveries from the coronavirus today than new infections for the 1st time since the outbreak began i\u2026""",59177958
73,Sat Mar 14 04:43:09 +0000 2020,"RT @DexertoIntel: Someone\u2019s uninstalling #Warzone today \ud83e\udd23\n\n(Credit: u\/ky2391) https:\/\/t.co\/uXgfaznel5""",868562173
74,Sat Mar 14 04:43:21 +0000 2020,"RT @ChrisJansing: I spent two and a half years covering the WH. MANY press conferences. Reporters\u2019 microphones were never cut off.  But  to\u2026""",536646582
75,Sat Mar 14 04:43:21 +0000 2020,RT @chlochIo: Today I found out the Nando\u2019s typeface was created by a black sign writer and artist,459904757
76,Sat Mar 14 04:43:21 +0000 2020,RT @EU_Commission: The European Union can withstand the shock caused by #COVID19. But we need to be determined,1210982474920017920
77,Sat Mar 14 04:43:21 +0000 2020,"RT @shanemadej: It\u2019s been a while but I think it\u2019s worth mentioning that Donald Trump is the dumbest motherfucker on the face of the planet.""",217151815
78,Sat Mar 14 04:43:21 +0000 2020,"Today's vibe is brought to you by the extremely sad song that plays when a character dies right after their redempt\u2026 https:\/\/t.co\/qcVbbQP3sA""",720569253800247296
79,Sat Mar 14 04:43:21 +0000 2020,"RT @OnlyGod4ever: What happened MAR 13 in military history?\n1904 Dedication of the Statue of \n         \""Christ the Redeemer of the Andes\""\u2026""",172099674
80,Sat Mar 14 04:43:21 +0000 2020,"I sneezed today at work and my extra ass co worker sprayed me with disinfecting spray \ud83d\ude11""",1957123069
81,Sat Mar 14 04:43:22 +0000 2020,"walked into walmart today \ud83d\udcaf\ud83d\udcaf everyone was going insane \ud83d\udcaf\ud83d\udcaf\ud83d\udcaf got anxious \ud83d\udcaf\ud83d\udcaf walked right back out \ud83d\udcaf\ud83d\udcaf\ud83d\udcaf""",57181184
82,Sat Mar 14 04:43:22 +0000 2020,"RT @MiguelVAnMa: So sad to hear lil tecca passed away in a car accident today. He will be missed.\n#ripliltecca #rip #legend""",1238573196980477952
83,Sat Mar 14 04:43:21 +0000 2020,RT @TWLOHA: No matter how hard today is,1353010748
84,Sat Mar 14 04:43:22 +0000 2020,RT @JamesAGoins1: Catholics,54455046
85,Sat Mar 14 04:43:22 +0000 2020,RT @GovInslee: The COVID-19 outbreak is evolving quickly. We are not waiting to take the measures needed to contain it.\n \nToday,23620739
86,Sat Mar 14 04:43:22 +0000 2020,"RT @JillianRatti: This is exactly my vibe today. All of it. https:\/\/t.co\/8Ym8OWoXTX""",272626019
87,Sat Mar 14 04:43:22 +0000 2020,RT @People4Bernie: 40,896534758280249345
88,Sat Mar 14 04:43:22 +0000 2020,"RT @SecPompeo: Spoke with Tunisian Prime Minister @ElyesFakhfakh today to express our outrage at the terrorist attack last week and to send\u2026""",787580643140132864
89,Sat Mar 14 04:43:10 +0000 2020,"RT @ay_its_brian: people who were racist against asians dont deserve any of this lmao""",4448650520
90,Sat Mar 14 04:43:22 +0000 2020,"I\u2019ve only got carded once today and when I did the girl said your bill is on us\u2764\ufe0f\ud83d\ude2d""",1055679373
91,Sat Mar 14 04:43:22 +0000 2020,RT @kiaudn: the adhaan today in Kuwait was changed due to the coronavirus.\n \ninstead of \u201chayya alas-salah\u201d (come to prayer),3242318863
92,Sat Mar 14 04:43:22 +0000 2020,"RT @shoe0nhead: man deadass wandered off screen and they cut the camera\n\njust a stutter""",133155578
93,Sat Mar 14 04:43:22 +0000 2020,"RT @colasolidarity: The ~80 UCSC strikers fired for demanding a living wage are people w families &amp; futures &amp; needs &amp; dreams. Today we shar\u2026""",4173486796
94,Sat Mar 14 04:43:22 +0000 2020,"RT @ABPNews: #Pradhanmantri2onABP QUIZ CONTEST Today's Question \ud83d\udc47 \n\nWhich Chief Minister of Andhra Pradesh started talks with Naxalites?\n\nC\u2026""",2166833053
95,Sat Mar 14 04:43:22 +0000 2020,"Today is all about the layers! It\u2019s slightly chilly \ud83e\udd76 in town so make sure you come into @DebbieMosesShop\u2026 https:\/\/t.co\/q0zKvv6j1F""",1042595612607229952
96,Sat Mar 14 04:43:22 +0000 2020,RT @SethAbramson: PS4\/ Every day,29580640
97,Sat Mar 14 04:43:22 +0000 2020,"RT @waenaglariel: \u0e40\u0e19\u0e35\u0e48\u0e22 \u0e17\u0e35\u0e48 US \u0e08\u0e30\u0e15\u0e23\u0e27\u0e08 #COVID \u0e17\u0e35\u0e04\u0e48\u0e32\u0e43\u0e0a\u0e49\u0e08\u0e48\u0e32\u0e22\u0e15\u0e48\u0e2d\u0e2b\u0e31\u0e27 4\u0e2b\u0e21\u0e37\u0e48\u0e19\u0e01\u0e27\u0e48\u0e32\u0e1a\u0e32\u0e17 \u0e1c\u0e39\u0e49\u0e41\u0e17\u0e19\u0e40\u0e02\u0e32\u0e0a\u0e48\u0e27\u0e22\u0e1a\u0e35\u0e1a\u0e04\u0e2d\u0e01\u0e23\u0e21\u0e04\u0e27\u0e1a\u0e04\u0e38\u0e21\u0e42\u0e23\u0e04\u0e43\u0e2b\u0e49\u0e0a\u0e32\u0e27\u0e2d\u0e40\u0e21\u0e23\u0e34\u0e01\u0e31\u0e19\u0e15\u0e23\u0e27\u0e08\u0e44\u0e14\u0e49\u0e1f\u0e23\u0e35 \u0e19\u0e35\u0e48\u0e04\u0e37\u0e2d\u2026""",818823910305054721
