raving,Surprise,1
reappear,Surprise,1
receiving,Surprise,1
recklessness,Surprise,1
reflex,Surprise,1
rejoice,Surprise,1
rejoicing,Surprise,1
rekindle,Surprise,1
remarkable,Surprise,1
rescue,Surprise,1
resignation,Surprise,1
revenge,Surprise,1
reversal,Surprise,1
revolt,Surprise,1
revolution,Surprise,1
reward,Surprise,1
rhythmical,Surprise,1
riddle,Surprise,1
riotous,Surprise,1
romance,Surprise,1
rupture,Surprise,1
sabotage,Surprise,1
saint,Surprise,1
saintly,Surprise,1
sally,Surprise,1
sanctify,Surprise,1
scare,Surprise,1
score,Surprise,1
scorpion,Surprise,1
scream,Surprise,1
screech,Surprise,1
scrimmage,Surprise,1
secrecy,Surprise,1
senseless,Surprise,1
sensual,Surprise,1
shatter,Surprise,1
shell,Surprise,1
shock,Surprise,1
shockingly,Surprise,1
shopping,Surprise,1
shot,Surprise,1
shout,Surprise,1
shriek,Surprise,1
shrill,Surprise,1
simplify,Surprise,1
singularly,Surprise,1
sisterhood,Surprise,1
slam,Surprise,1
slap,Surprise,1
slaughter,Surprise,1
slaughtering,Surprise,1
slayer,Surprise,1
slip,Surprise,1
slush,Surprise,1
smile,Surprise,1
snag,Surprise,1
sneak,Surprise,1
sneeze,Surprise,1
somatic,Surprise,1
sorcery,Surprise,1
spa,Surprise,1
sparkle,Surprise,1
spectacular,Surprise,1
spirits,Surprise,1
splash,Surprise,1
splendid,Surprise,1
splendor,Surprise,1
stab,Surprise,1
stagger,Surprise,1
startle,Surprise,1
startling,Surprise,1
steady,Surprise,1
stealth,Surprise,1
stealthily,Surprise,1
stealthy,Surprise,1
strangle,Surprise,1
stunned,Surprise,1
subito,Surprise,1
subversive,Surprise,1
succeed,Surprise,1
sudden,Surprise,1
suddenly,Surprise,1
sun,Surprise,1
sunny,Surprise,1
supremacy,Surprise,1
surge,Surprise,1
surprise,Surprise,1
surprised,Surprise,1
surprising,Surprise,1
surprisingly,Surprise,1
suspense,Surprise,1
sweet,Surprise,1
swerve,Surprise,1
synchronize,Surprise,1
syncope,Surprise,1
tackle,Surprise,1
tantalizing,Surprise,1
teach,Surprise,1
tempest,Surprise,1
terrorist,Surprise,1
thief,Surprise,1
thirst,Surprise,1
thrill,Surprise,1
thrilling,Surprise,1
thwart,Surprise,1
tickle,Surprise,1
topple,Surprise,1
transcendence,Surprise,1
treachery,Surprise,1
treason,Surprise,1
treat,Surprise,1
tree,Surprise,1
trepidation,Surprise,1
trick,Surprise,1
trickery,Surprise,1
